Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,7,7,demande,request
8,8,8,genre,kind
9,9,9,mois,month
12,12,12,car,because
13,13,13,mettre,to put
14,14,14,aucun,no
15,15,15,laisse,leash
16,16,16,eux,them
17,17,17,ville,city
18,18,18,chaque,each
19,19,19,parlé,speak
20,20,20,arrivé,come
21,21,22,bébé,baby
22,22,23,longtemps,long time
23,23,24,heures,hours
24,24,25,pendant,while
25,25,26,revoir,meet again
26,26,27,aucune,any
28,28,29,parle,speak
29,29,30,compris,understood
30,30,31,savais,knew
32,32,33,attention,Warning
33,33,34,voici,here is
34,34,35,pourrais,could
35,35,36,affaire,case
36,36,37,donner,give
38,38,39,leurs,their
40,40,41,train,train
42,42,43,endroit,place
43,43,44,yeux,eyes
44,44,45,façon,way
45,45,46,écoute,listen
46,46,47,dont,whose
47,47,48,trouve,find
48,48,49,premier,first
49,49,50,perdu,lost
50,50,51,main,hand
51,51,52,première,first
52,52,53,côté,side
53,53,54,pouvoir,power
54,54,55,vieux,old
55,55,56,sois,be
56,56,57,tiens,here
57,57,58,matin,morning
58,58,59,tellement,so much
59,59,60,enfant,child
60,60,61,point,point
61,61,62,venu,came
62,62,63,suite,after
63,63,64,pardon,sorry
64,65,66,devant,in front of
65,66,67,vers,towards
66,67,68,minutes,minutes
67,68,69,demandé,request
68,69,70,chambre,bedroom
69,70,71,mis,placed
70,71,72,belle,beautiful
71,72,73,droit,law
72,73,74,aimerais,would like to
73,74,75,aujourd'hui,today
74,75,76,mari,husband
75,76,77,cause,cause
76,77,78,enfin,finally
77,78,79,espère,hope
78,79,80,eau,water
79,80,81,attendez,Wait
80,81,82,parti,left
81,82,83,nouvelle,new
82,83,84,boulot,job
84,85,86,dirait,would say
85,86,87,terre,Earth
86,87,88,compte,account
87,88,89,donne,given
88,89,90,loin,far
89,90,91,fin,end
90,91,92,croire,believe
91,92,93,chérie,sweetheart
92,93,94,gros,large
93,94,95,plutôt,rather
94,95,96,aura,will have
95,96,97,filles,girls
96,97,98,jouer,to play
97,98,99,bureau,office
